No;wage;union;nonwhite;married;education;experience;weights;age;education_in_years;experience_in_years
188942;9.284486763;no;no;yes;Post-graduate;Okt-14;4546.890137;36;17;13
134058;8.642857648;no;no;yes;Some College;Okt-14;8893.75;30;13;11
124022;5.230547628;yes;no;no;High School;0-4;3245.350098;21;12;3
160997;4.826210732;no;no;no;Some College;0-4;2273.360107;20;13;1
226318;3.440758375;no;no;yes;Some College;20-24;13919.74023;40;14;20
124507;2.309686569;no;no;no;HS dropout;0-4;5200.97998;16;9;1
193627;5.458646659;yes;no;no;High School;Okt-14;6138.459961;31;12;13
45404;7.415730286;no;no;yes;Some College;15-19;5840.459961;38;14;18
65161;3.707865136;no;no;yes;Post-graduate;Okt-14;5024.040039;33;17;10
59134;3.965243129;yes;no;yes;HS dropout;Okt-14;10122.90039;27;10;11
183204;8.044321358;no;no;yes;High School;15-19;5690.109863;35;12;17
145255;11.11579067;yes;no;yes;High School;Okt-14;9349.200195;29;12;11
89709;8.692050121;yes;no;yes;High School;05-Sep;7677.189941;26;12;8
30538;9.047191052;yes;no;yes;High School;20-24;5511.540039;39;12;21
225589;3.704081677;yes;yes;yes;HS dropout;35-39;3635.080078;55;11;38
144608;10.42105171;no;no;yes;High School;20-24;4822.47998;38;12;20
90077;3.19042984;no;yes;no;HS dropout;05-Sep;5977.890137;23;9;8
214591;5.751164775;no;no;yes;Some College;15-19;5824.419922;38;13;19
53241;6.239287413;yes;no;yes;High School;Okt-14;5484.339844;28;12;10
159897;7.000964338;no;no;yes;High School;15-19;2152.060059;34;12;16
236767;2.765235616;yes;yes;yes;Some College;25-29;7854.310059;45;13;26
182728;7.569667775;yes;no;no;High School;05-Sep;6831.709961;26;12;8
43042;7.397665196;no;no;yes;College;25-29;5275.600098;49;16;27
208909;8.233137518;no;no;yes;High School;30-34;6370.839844;50;12;32
21812;7.053266574;no;no;yes;High School;20-24;7646.490234;42;12;24
39895;6.540540516;no;no;no;Some College;0-4;8548.719727;23;13;4
140712;3.007714338;no;no;no;Elementary;15-19;14497.53027;31;8;17
258719;7.346826251;no;no;yes;Some College;>=40;5636.47998;60;13;41
9326;5.098314856;no;no;yes;College;05-Sep;7789.370117;27;16;5
157582;11.76873259;yes;no;no;High School;30-34;3978.610107;49;12;31
71503;5.067623626;no;no;yes;HS dropout;Okt-14;7166.169922;28;11;11
